노출(분),상품군,판매단가,취급액,판매수량,남여,무이자/일시불,최저기온,최고기온,평균기온,강수량,미세먼지농도,소비자물가지수,시각인덱스,New상품명,공휴일 여부,휴일 여부,New요일
20,6,0,4371000,110,1,2,-5.8,2.1,-2.1,0.1,26,104.24,36,36,1,0,1
20,6,0,3262000,82,0,2,-5.8,2.1,-2.1,0.1,26,104.24,38,36,1,0,1
20,6,0,6672000,168,0,2,-5.8,2.1,-2.1,0.1,26,104.24,40,36,1,0,1
20,5,0,15689000,266,2,2,-5.8,2.1,-2.1,0.1,26,104.24,44,65,1,0,1
20,6,0,53542000,894,0,2,-5.8,2.1,-2.1,0.1,26,104.24,52,110,1,0,1
20,6,0,16075000,204,2,2,-5.8,2.1,-2.1,0.1,26,104.24,54,0,1,0,1
20,6,0,25628000,325,2,2,-5.8,2.1,-2.1,0.1,26,104.24,56,0,1,0,1
20,5,0,24531000,351,2,2,-5.8,2.1,-2.1,0.1,26,104.24,66,65,1,0,1
20,9,0,33823000,556,2,2,-5.8,2.1,-2.1,0.1,26,104.24,72,24,1,0,1
30,5,0,32273000,297,2,2,-5.8,2.1,-2.1,0.1,26,104.24,78,0,1,0,1
30,5,0,79273000,728,2,2,-5.8,2.1,-2.1,0.1,26,104.24,81,0,1,0,1
30,6,0,11269000,95,0,2,-5.8,2.1,-2.1,0.1,26,104.24,84,67,1,0,1
30,6,0,20841000,176,1,2,-5.8,2.1,-2.1,0.1,26,104.24,84,67,1,0,1
30,6,0,47294000,398,1,2,-5.8,2.1,-2.1,0.1,26,104.24,87,67,1,0,1
20,3,0,14113000,232,2,2,-5.8,2.1,-2.1,0.1,26,104.24,90,82,1,0,1
20,3,0,32395000,532,2,2,-5.8,2.1,-2.1,0.1,26,104.24,92,82,1,0,1
20,3,0,60787000,1219,2,2,-5.8,2.1,-2.1,0.1,26,104.24,96,98,1,0,1
20,7,0,42239000,1062,2,2,-5.8,2.1,-2.1,0.1,26,104.24,102,87,1,0,1
20,7,0,73494000,1847,2,2,-5.8,2.1,-2.1,0.1,26,104.24,104,87,1,0,1
20,7,0,107103000,2692,2,2,-5.8,2.1,-2.1,0.1,26,104.24,106,87,1,0,1
20,3,0,85937000,2154,2,2,-5.8,2.1,-2.1,0.1,26,104.24,110,93,1,0,1
20,5,0,36620000,308,2,2,-5.8,2.1,-2.1,0.1,26,104.24,114,85,1,0,1
20,1,2,19123000,40,2,0,-5.8,2.1,-2.1,0.1,26,104.24,120,10,1,0,1
20,1,2,56859000,130,2,1,-5.8,2.1,-2.1,0.1,26,104.24,122,10,1,0,1
20,6,2,16362000,33,2,2,-5.8,2.1,-2.1,0.1,26,104.24,126,67,1,0,1
20,6,2,53791000,108,2,2,-5.8,2.1,-2.1,0.1,26,104.24,128,67,1,0,1
30,6,2,38067000,128,2,2,-5.8,2.1,-2.1,0.1,26,104.24,132,67,1,0,1
30,6,2,77764000,261,2,2,-5.8,2.1,-2.1,0.1,26,104.24,135,67,1,0,1
20,5,0,23075000,257,2,2,-5.8,2.1,-2.1,0.1,26,104.24,138,65,1,0,1
20,6,0,6082000,88,0,2,-7,3.2,-2.5,0,24,104.24,0,0,0,0,2
20,6,0,6445000,93,1,2,-7,3.2,-2.5,0,24,104.24,0,0,0,0,2
20,6,0,16461000,236,0,2,-7,3.2,-2.5,0,24,104.24,4,0,0,0,2
