,노출(분),상품군,판매단가,취급액,판매수량,남여,무이자/일시불,최저기온,최고기온,평균기온,강수량,미세먼지농도,소비자물가지수,시각인덱스,New상품명,공휴일 여부,휴일 여부,New요일
0,20,6,0,2099000,53,0,2,-5.8,2.1,-2.1,0.1,26,104.24,36,36,1,0,1
3,20,6,0,6955000,175,1,2,-5.8,2.1,-2.1,0.1,26,104.24,38,36,1,0,1
5,20,6,0,9337000,235,1,2,-5.8,2.1,-2.1,0.1,26,104.24,40,36,1,0,1
6,20,5,0,6819000,116,2,2,-5.8,2.1,-2.1,0.1,26,104.24,42,65,1,0,1
8,20,5,0,25370000,430,2,2,-5.8,2.1,-2.1,0.1,26,104.24,46,65,1,0,1
9,20,6,0,16133000,270,0,2,-5.8,2.1,-2.1,0.1,26,104.24,48,110,1,0,1
10,20,6,0,30061000,502,0,2,-5.8,2.1,-2.1,0.1,26,104.24,50,110,1,0,1
14,20,6,0,49270000,624,2,2,-5.8,2.1,-2.1,0.1,26,104.24,58,0,1,0,1
15,20,6,0,48799000,611,0,2,-5.8,2.1,-2.1,0.1,26,104.24,60,36,1,0,1
16,20,6,0,97907000,1226,0,2,-5.8,2.1,-2.1,0.1,26,104.24,62,36,1,0,1
17,20,6,0,112972000,1414,0,2,-5.8,2.1,-2.1,0.1,26,104.24,64,36,1,0,1
19,20,5,0,49829000,713,2,2,-5.8,2.1,-2.1,0.1,26,104.24,68,65,1,0,1
21,20,9,0,59083000,971,2,2,-5.8,2.1,-2.1,0.1,26,104.24,74,24,1,0,1
22,20,9,0,99235000,1630,2,2,-5.8,2.1,-2.1,0.1,26,104.24,76,24,1,0,1
27,30,6,0,40526000,341,0,2,-5.8,2.1,-2.1,0.1,26,104.24,87,67,1,0,1
31,20,3,0,39669000,652,2,2,-5.8,2.1,-2.1,0.1,26,104.24,94,82,1,0,1
33,20,3,0,115457000,2314,2,2,-5.8,2.1,-2.1,0.1,26,104.24,98,98,1,0,1
34,20,3,0,83893000,1376,2,2,-5.8,2.1,-2.1,0.1,26,104.24,100,76,1,0,1
38,20,3,0,59050000,1480,2,2,-5.8,2.1,-2.1,0.1,26,104.24,108,93,1,0,1
40,20,3,0,101468000,2544,2,2,-5.8,2.1,-2.1,0.1,26,104.24,112,93,1,0,1
42,20,5,0,69349000,583,2,2,-5.8,2.1,-2.1,0.1,26,104.24,116,85,1,0,1
43,20,5,0,84610000,712,2,2,-5.8,2.1,-2.1,0.1,26,104.24,118,85,1,0,1
44,20,1,2,35519000,81,2,1,-5.8,2.1,-2.1,0.1,26,104.24,120,10,1,0,1
47,20,1,2,58685000,121,2,0,-5.8,2.1,-2.1,0.1,26,104.24,122,10,1,0,1
48,20,1,2,68320000,156,2,1,-5.8,2.1,-2.1,0.1,26,104.24,124,10,1,0,1
49,20,1,2,46068000,95,2,0,-5.8,2.1,-2.1,0.1,26,104.24,124,10,1,0,1
52,20,6,2,84562000,170,2,2,-5.8,2.1,-2.1,0.1,26,104.24,130,67,1,0,1
56,20,5,0,39452000,439,2,2,-5.8,2.1,-2.1,0.1,26,104.24,140,65,1,0,1
57,20,5,0,60010000,668,2,2,-5.8,2.1,-2.1,0.1,26,104.24,142,65,1,0,1
60,20,6,0,11985000,172,0,2,-7,3.2,-2.5,0,24,104.24,2,0,0,0,2
61,20,6,0,8491000,122,1,2,-7,3.2,-2.5,0,24,104.24,2,0,0,0,2
63,20,6,0,10641000,153,1,2,-7,3.2,-2.5,0,24,104.24,4,0,0,0,2
65,20,5,0,15516000,222,2,2,-7,3.2,-2.5,0,24,104.24,8,65,0,0,2
66,20,5,0,18695000,268,2,2,-7,3.2,-2.5,0,24,104.24,10,65,0,0,2
70,20,2,0,14944000,217,2,2,-7,3.2,-2.5,0,24,104.24,42,77,0,0,2
71,20,2,0,25881000,376,2,2,-7,3.2,-2.5,0,24,104.24,44,77,0,0,2
72,20,2,0,30126000,437,2,2,-7,3.2,-2.5,0,24,104.24,46,77,0,0,2
74,20,5,0,21397000,363,2,2,-7,3.2,-2.5,0,24,104.24,50,65,0,0,2
78,20,6,0,38449000,964,2,2,-7,3.2,-2.5,0,24,104.24,58,84,0,0,2
80,20,9,1,8951000,54,2,0,-7,3.2,-2.5,0,24,104.24,60,4,0,0,2
81,20,9,1,2118000,15,2,1,-7,3.2,-2.5,0,24,104.24,60,4,0,0,2
84,20,9,1,13074000,78,2,0,-7,3.2,-2.5,0,24,104.24,62,4,0,0,2
85,20,9,1,9408000,64,2,1,-7,3.2,-2.5,0,24,104.24,62,4,0,0,2
88,20,9,1,18925000,113,2,0,-7,3.2,-2.5,0,24,104.24,64,4,0,0,2
89,20,9,1,13024000,88,2,1,-7,3.2,-2.5,0,24,104.24,64,4,0,0,2
90,20,9,1,3368000,22,2,0,-7,3.2,-2.5,0,24,104.24,64,4,0,0,2
93,20,9,1,10107000,43,2,0,-7,3.2,-2.5,0,24,104.24,72,12,0,0,2
98,20,9,1,17732000,78,2,1,-7,3.2,-2.5,0,24,104.24,74,12,0,0,2
101,20,9,1,25462000,107,2,0,-7,3.2,-2.5,0,24,104.24,76,12,0,0,2
105,20,3,0,29599000,900,2,2,-7,3.2,-2.5,0,24,104.24,78,0,0,0,2
106,20,3,0,40882000,1243,2,2,-7,3.2,-2.5,0,24,104.24,80,0,0,0,2
107,20,3,0,42466000,1291,2,2,-7,3.2,-2.5,0,24,104.24,82,0,0,0,2
108,30,5,0,28456000,262,2,2,-7,3.2,-2.5,0,24,104.24,84,0,0,0,2
109,30,5,0,56800000,522,2,2,-7,3.2,-2.5,0,24,104.24,87,0,0,0,2
113,20,3,0,11931000,387,2,2,-7,3.2,-2.5,0,24,104.24,96,0,0,0,2
114,20,3,0,6694000,217,2,2,-7,3.2,-2.5,0,24,104.24,96,0,0,0,2
115,20,3,0,16983000,550,2,2,-7,3.2,-2.5,0,24,104.24,98,0,0,0,2
118,20,3,0,11181000,362,2,2,-7,3.2,-2.5,0,24,104.24,100,0,0,0,2
119,20,3,0,30903000,516,2,2,-7,3.2,-2.5,0,24,104.24,102,104,0,0,2
121,20,3,0,49237000,822,2,2,-7,3.2,-2.5,0,24,104.24,106,104,0,0,2
122,20,9,0,22422000,250,2,2,-7,3.2,-2.5,0,24,104.24,108,21,0,0,2
124,20,9,0,44814000,500,2,2,-7,3.2,-2.5,0,24,104.24,112,21,0,0,2
129,20,5,0,422000,5,2,2,-7,3.2,-2.5,0,24,104.24,120,51,0,0,2
136,20,5,0,4155000,47,2,2,-7,3.2,-2.5,0,24,104.24,124,53,0,0,2
137,20,1,4,14485000,11,2,1,-7,3.2,-2.5,0,24,104.24,126,9,0,0,2
141,20,1,4,21729000,16,2,1,-7,3.2,-2.5,0,24,104.24,130,9,0,0,2
142,20,1,4,23895000,16,2,0,-7,3.2,-2.5,0,24,104.24,130,9,0,0,2
143,20,1,4,3177000,3,2,1,-7,3.2,-2.5,0,24,104.24,132,1,0,0,2
146,20,1,5,10329000,5,2,0,-7,3.2,-2.5,0,24,104.24,132,1,0,0,2
151,20,1,5,32123000,17,2,1,-7,3.2,-2.5,0,24,104.24,134,1,0,0,2
153,20,1,6,0,0,2,1,-7,3.2,-2.5,0,24,104.24,134,1,0,0,2
155,20,1,4,6305000,5,2,1,-7,3.2,-2.5,0,24,104.24,136,1,0,0,2
157,20,1,5,36730000,20,2,1,-7,3.2,-2.5,0,24,104.24,136,1,0,0,2
158,20,1,5,15468000,8,0,0,-7,3.2,-2.5,0,24,104.24,136,1,0,0,2
162,20,5,0,46224000,579,2,2,-7,3.2,-2.5,0,24,104.24,140,65,0,0,2
168,20,5,0,13185000,224,2,2,-7.7,5,-2.1,0,25,104.24,6,70,0,0,3
172,20,8,0,2645000,54,2,2,-7.7,5,-2.1,0,25,104.24,36,0,0,0,3
174,20,8,0,3874000,78,2,2,-7.7,5,-2.1,0,25,104.24,38,0,0,0,3
175,20,8,0,9045000,228,2,2,-7.7,5,-2.1,0,25,104.24,40,0,0,0,3
176,20,8,0,6162000,124,2,2,-7.7,5,-2.1,0,25,104.24,40,0,0,0,3
179,20,3,0,35153000,882,2,2,-7.7,5,-2.1,0,25,104.24,46,0,0,0,3
180,20,7,0,13665000,173,2,2,-7.7,5,-2.1,0,25,104.24,48,0,0,0,3
181,20,7,0,26788000,340,2,2,-7.7,5,-2.1,0,25,104.24,50,0,0,0,3
183,20,8,0,17518000,450,2,2,-7.7,5,-2.1,0,25,104.24,54,0,0,0,3
