,b_time,type,price,total,num,sex,interest,temp,rain,worth
0,1,6,0,2099000,53,,,-2.1,0.1,104.24
1,1,6,0,4371000,110,,,-2.1,0.1,104.24
2,1,6,0,3262000,82,,,-2.1,0.1,104.24
3,1,6,0,6955000,175,,,-2.1,0.1,104.24
4,1,6,0,6672000,168,,,-2.1,0.1,104.24
5,1,6,0,9337000,235,,,-2.1,0.1,104.24
6,1,5,0,6819000,116,,,-2.1,0.1,104.24
7,1,5,0,15689000,266,,,-2.1,0.1,104.24
8,1,5,0,25370000,430,,,-2.1,0.1,104.24
9,1,6,0,16133000,270,,,-2.1,0.1,104.24
10,1,6,0,30061000,502,,,-2.1,0.1,104.24
11,1,6,0,53542000,894,,,-2.1,0.1,104.24
12,1,6,0,16075000,204,,,-2.1,0.1,104.24
13,1,6,0,25628000,325,,,-2.1,0.1,104.24
14,1,6,0,49270000,624,,,-2.1,0.1,104.24
15,1,6,0,48799000,611,,,-2.1,0.1,104.24
16,1,6,0,97907000,1226,,,-2.1,0.1,104.24
17,1,6,0,112972000,1414,,,-2.1,0.1,104.24
18,1,5,0,24531000,351,,,-2.1,0.1,104.24
19,1,5,0,49829000,713,,,-2.1,0.1,104.24
20,1,9,0,33823000,556,,,-2.1,0.1,104.24
21,1,9,0,59083000,971,,,-2.1,0.1,104.24
22,1,9,0,99235000,1630,,,-2.1,0.1,104.24
23,2,5,0,32273000,297,,,-2.1,0.1,104.24
24,2,5,0,79273000,728,,,-2.1,0.1,104.24
25,2,6,0,11269000,95,,,-2.1,0.1,104.24
26,2,6,0,20841000,176,,,-2.1,0.1,104.24
27,2,6,0,40526000,341,,,-2.1,0.1,104.24
28,2,6,0,47294000,398,,,-2.1,0.1,104.24
29,1,3,0,14113000,232,,,-2.1,0.1,104.24
30,1,3,0,32395000,532,,,-2.1,0.1,104.24
31,1,3,0,39669000,652,,,-2.1,0.1,104.24
32,1,3,0,60787000,1219,,,-2.1,0.1,104.24
33,1,3,0,115457000,2314,,,-2.1,0.1,104.24
34,1,3,0,83893000,1376,,,-2.1,0.1,104.24
35,1,7,0,42239000,1062,,,-2.1,0.1,104.24
36,1,7,0,73494000,1847,,,-2.1,0.1,104.24
37,1,7,0,107103000,2692,,,-2.1,0.1,104.24
38,1,3,0,59050000,1480,,,-2.1,0.1,104.24
39,1,3,0,85937000,2154,,,-2.1,0.1,104.24
40,1,3,0,101468000,2544,,,-2.1,0.1,104.24
41,1,5,0,36620000,308,,,-2.1,0.1,104.24
42,1,5,0,69349000,583,,,-2.1,0.1,104.24
43,1,5,0,84610000,712,,,-2.1,0.1,104.24
44,1,1,2,35519000,81,,1,-2.1,0.1,104.24
45,1,1,2,19123000,40,,0,-2.1,0.1,104.24
46,1,1,2,56859000,130,,1,-2.1,0.1,104.24
47,1,1,2,58685000,121,,0,-2.1,0.1,104.24
48,1,1,2,68320000,156,,1,-2.1,0.1,104.24
49,1,1,2,46068000,95,,0,-2.1,0.1,104.24
50,1,6,2,16362000,33,,,-2.1,0.1,104.24
51,1,6,2,53791000,108,,,-2.1,0.1,104.24
52,1,6,2,84562000,170,,,-2.1,0.1,104.24
53,2,6,2,38067000,128,,,-2.1,0.1,104.24
54,2,6,2,77764000,261,,,-2.1,0.1,104.24
55,1,5,0,23075000,257,,,-2.1,0.1,104.24
56,1,5,0,39452000,439,,,-2.1,0.1,104.24
57,1,5,0,60010000,668,,,-2.1,0.1,104.24
58,1,6,0,6082000,88,,,-2.5,0,104.24
59,1,6,0,6445000,93,,,-2.5,0,104.24
60,1,6,0,11985000,172,,,-2.5,0,104.24
61,1,6,0,8491000,122,,,-2.5,0,104.24
62,1,6,0,16461000,236,,,-2.5,0,104.24
63,1,6,0,10641000,153,,,-2.5,0,104.24
64,1,5,0,9647000,139,,,-2.5,0,104.24
65,1,5,0,15516000,222,,,-2.5,0,104.24
66,1,5,0,18695000,268,,,-2.5,0,104.24
67,1,4,0,9605000,323,,,-2.5,0,104.24
68,1,4,0,11265000,379,,,-2.5,0,104.24
69,1,4,0,14371000,483,,,-2.5,0,104.24
70,1,2,0,14944000,217,,,-2.5,0,104.24
71,1,2,0,25881000,376,,,-2.5,0,104.24
72,1,2,0,30126000,437,,,-2.5,0,104.24
73,1,5,0,11314000,192,,,-2.5,0,104.24
74,1,5,0,21397000,363,,,-2.5,0,104.24
75,1,5,0,34822000,591,,,-2.5,0,104.24
76,1,6,0,12607000,316,,,-2.5,0,104.24
77,1,6,0,23042000,578,,,-2.5,0,104.24
78,1,6,0,38449000,964,,,-2.5,0,104.24
79,1,9,1,7239000,46,,1,-2.5,0,104.24
80,1,9,1,8951000,54,,0,-2.5,0,104.24
81,1,9,1,2118000,15,,1,-2.5,0,104.24
82,1,9,1,2262000,15,,0,-2.5,0,104.24
83,1,9,1,27223000,173,,1,-2.5,0,104.24
84,1,9,1,13074000,78,,0,-2.5,0,104.24
85,1,9,1,9408000,64,,1,-2.5,0,104.24
86,1,9,1,4507000,29,,0,-2.5,0,104.24
87,1,9,1,44478000,282,,1,-2.5,0,104.24
88,1,9,1,18925000,113,,0,-2.5,0,104.24
89,1,9,1,13024000,88,,1,-2.5,0,104.24
90,1,9,1,3368000,22,,0,-2.5,0,104.24
91,2,6,2,29763000,100,,,-2.5,0,104.24
92,2,6,2,66392000,223,,,-2.5,0,104.24
93,1,9,1,10107000,43,,0,-2.5,0,104.24
94,1,9,1,2270000,10,,1,-2.5,0,104.24
95,1,9,1,1469000,7,,0,-2.5,0,104.24
96,1,9,1,2757000,14,,1,-2.5,0,104.24
97,1,9,1,17801000,75,,0,-2.5,0,104.24
98,1,9,1,17732000,78,,1,-2.5,0,104.24
99,1,9,1,10627000,49,,0,-2.5,0,104.24
100,1,9,1,4731000,23,,1,-2.5,0,104.24
101,1,9,1,25462000,107,,0,-2.5,0,104.24
102,1,9,1,21428000,94,,1,-2.5,0,104.24
103,1,9,1,6384000,30,,0,-2.5,0,104.24
104,1,9,1,4095000,20,,1,-2.5,0,104.24
105,1,3,0,29599000,900,,,-2.5,0,104.24
106,1,3,0,40882000,1243,,,-2.5,0,104.24
107,1,3,0,42466000,1291,,,-2.5,0,104.24
108,2,5,0,28456000,262,,,-2.5,0,104.24
109,2,5,0,56800000,522,,,-2.5,0,104.24
110,1,3,0,41722000,1351,,,-2.5,0,104.24
111,1,3,0,43167000,1397,,,-2.5,0,104.24
112,1,3,0,70322000,2276,,,-2.5,0,104.24
113,1,3,0,11931000,387,,,-2.5,0,104.24
114,1,3,0,6694000,217,,,-2.5,0,104.24
115,1,3,0,16983000,550,,,-2.5,0,104.24
116,1,3,0,9744000,316,,,-2.5,0,104.24
117,1,3,0,18931000,613,,,-2.5,0,104.24
118,1,3,0,11181000,362,,,-2.5,0,104.24
119,1,3,0,30903000,516,,,-2.5,0,104.24
120,1,3,0,50056000,836,,,-2.5,0,104.24
121,1,3,0,49237000,822,,,-2.5,0,104.24
122,1,9,0,22422000,250,,,-2.5,0,104.24
123,1,9,0,33817000,377,,,-2.5,0,104.24
124,1,9,0,44814000,500,,,-2.5,0,104.24
125,1,3,0,25985000,434,,,-2.5,0,104.24
126,1,3,0,36647000,612,,,-2.5,0,104.24
127,1,3,0,65853000,1100,,,-2.5,0,104.24
128,1,5,0,18424000,208,,,-2.5,0,104.24
129,1,5,0,422000,5,,,-2.5,0,104.24
130,1,5,0,1506000,17,,,-2.5,0,104.24
131,1,5,0,41096000,462,,,-2.5,0,104.24
132,1,5,0,2575000,29,,,-2.5,0,104.24
133,1,5,0,3660000,42,,,-2.5,0,104.24
134,1,5,0,52885000,595,,,-2.5,0,104.24
135,1,5,0,3029000,35,,,-2.5,0,104.24
136,1,5,0,4155000,47,,,-2.5,0,104.24
137,1,1,4,14485000,11,,1,-2.5,0,104.24
138,1,1,4,11986000,8,,0,-2.5,0,104.24
139,1,1,4,25312000,18,,1,-2.5,0,104.24
140,1,1,4,11960000,8,,0,-2.5,0,104.24
141,1,1,4,21729000,16,,1,-2.5,0,104.24
142,1,1,4,23895000,16,,0,-2.5,0,104.24
143,1,1,4,3177000,3,,1,-2.5,0,104.24
144,1,1,4,0,0,,0,-2.5,0,104.24
145,1,1,5,13796000,8,,1,-2.5,0,104.24
146,1,1,5,10329000,5,,0,-2.5,0,104.24
147,1,1,6,0,0,,1,-2.5,0,104.24
148,1,1,6,0,0,,0,-2.5,0,104.24
149,1,1,4,3177000,3,,1,-2.5,0,104.24
150,1,1,4,3541000,3,,0,-2.5,0,104.24
151,1,1,5,32123000,17,,1,-2.5,0,104.24
152,1,1,5,5189000,3,,0,-2.5,0,104.24
153,1,1,6,0,0,,1,-2.5,0,104.24
154,1,1,6,0,0,,0,-2.5,0,104.24
155,1,1,4,6305000,5,,1,-2.5,0,104.24
156,1,1,4,6983000,5,,0,-2.5,0,104.24
157,1,1,5,36730000,20,,1,-2.5,0,104.24
158,1,1,5,15468000,8,,0,-2.5,0,104.24
159,1,1,6,0,0,,1,-2.5,0,104.24
160,1,1,6,14523000,5,,0,-2.5,0,104.24
161,1,5,0,29048000,364,,,-2.5,0,104.24
162,1,5,0,46224000,579,,,-2.5,0,104.24
163,1,5,0,31298000,392,,,-2.5,0,104.24
164,1,6,0,7329000,184,,,-2.1,0,104.24
165,1,6,0,12050000,303,,,-2.1,0,104.24
166,1,6,0,10481000,263,,,-2.1,0,104.24
167,1,6,0,22520000,565,,,-2.1,0,104.24
168,1,5,0,13185000,224,,,-2.1,0,104.24
169,1,5,0,17348000,295,,,-2.1,0,104.24
170,1,5,0,24910000,423,,,-2.1,0,104.24
171,1,8,0,2450000,62,,,-2.1,0,104.24
172,1,8,0,2645000,54,,,-2.1,0,104.24
173,1,8,0,5609000,141,,,-2.1,0,104.24
174,1,8,0,3874000,78,,,-2.1,0,104.24
175,1,8,0,9045000,228,,,-2.1,0,104.24
176,1,8,0,6162000,124,,,-2.1,0,104.24
177,1,3,0,20546000,515,,,-2.1,0,104.24
178,1,3,0,26917000,675,,,-2.1,0,104.24
179,1,3,0,35153000,882,,,-2.1,0,104.24
180,1,7,0,13665000,173,,,-2.1,0,104.24
181,1,7,0,26788000,340,,,-2.1,0,104.24
182,1,7,0,36208000,459,,,-2.1,0,104.24
183,1,8,0,17518000,450,,,-2.1,0,104.24
184,1,8,0,19488000,500,,,-2.1,0,104.24
185,1,8,0,36253000,930,,,-2.1,0,104.24
186,2,5,0,32763000,301,,,-2.1,0,104.24
187,2,5,0,70140000,644,,,-2.1,0,104.24
188,1,6,0,16785000,213,,,-2.1,0,104.24
189,1,6,0,32391000,411,,,-2.1,0,104.24
190,1,6,0,35613000,451,,,-2.1,0,104.24
191,1,2,0,18481000,268,,,-2.1,0,104.24
192,1,2,0,24779000,360,,,-2.1,0,104.24
193,1,2,0,45269000,657,,,-2.1,0,104.24
194,1,7,0,30273000,761,,,-2.1,0,104.24
195,1,7,0,41669000,1047,,,-2.1,0,104.24
196,1,7,0,44782000,1126,,,-2.1,0,104.24
197,1,9,0,22816000,208,,,-2.1,0,104.24
198,1,9,0,47947000,437,,,-2.1,0,104.24
199,1,9,0,49139000,448,,,-2.1,0,104.24
200,1,9,1,13222000,61,,0,-2.1,0,104.24
201,1,9,1,9656000,47,,1,-2.1,0,104.24
202,1,9,1,1530000,8,,0,-2.1,0,104.24
203,1,9,1,4272000,22,,1,-2.1,0,104.24
204,1,9,1,31827000,146,,0,-2.1,0,104.24
205,1,9,1,24436000,118,,1,-2.1,0,104.24
