"","year","month","day","time","노출분","상품명","상품군","판매단가","취급액","판매량"
"1","2019","01","26","19:40",20,"우리바다 손질왕꼬막 24팩","농수축",39900,122893000,3080
"2","2019","01","13","16:20",20,"우리바다 손질왕꼬막 24팩","농수축",39900,115266000,2889
"3","2019","01","29","21:40",20,"우리바다 손질왕꼬막 24팩","농수축",39900,110609000,2772
"4","2019","01","29","21:20",20,"우리바다 손질왕꼬막 24팩","농수축",39900,110042000,2758
"5","2019","01","01","17:40",20,"비버리힐스폴로클럽 남성기초세트(2018FW골드)","이미용",39800,107103000,2691
"6","2019","01","05","17:40",20,"우리바다 손질왕꼬막 24팩","농수축",39900,104552000,2620
"7","2019","01","13","10:40",20,"비버리힐스폴로클럽 남성기초세트(2018FW골드)","이미용",39800,104268000,2620
"8","2019","01","19","10:40",20,"궁중 손질새우 200미 + 동태포 200g","농수축",40900,105668000,2584
"9","2019","01","01","18:40",20,"우리바다 손질왕꼬막 24팩","농수축",39900,101468000,2543
"10","2019","01","23","20:40",20,"우리바다 손질왕꼬막 24팩","농수축",39900,101043000,2532
"11","2019","01","20","15:40",20,"비버리힐스폴로클럽 남성기초세트(2018FW골드)","이미용",39800,99499000,2500
"12","2019","01","27","15:40",20,"궁중 손질새우 200미 + 동태포 200g","농수축",40900,100061000,2446
"13","2019","01","14","21:40",20,"국내산 손질갑오징어 8팩","농수축",49900,116925000,2343
"14","2019","01","01","16:20",20,"국내산 손질갑오징어 8팩","농수축",49900,115457000,2314
"15","2019","01","19","16:40",20,"안동간고등어 20팩","농수축",30900,71105000,2301
"16","2019","01","02","15:40",20,"안동간고등어 20팩","농수축",30900,70322000,2276
"17","2019","01","23","20:20",20,"우리바다 손질왕꼬막 24팩","농수축",39900,90519000,2269
"18","2019","01","07","18:40",20,"우리바다 손질왕꼬막 24팩","농수축",39900,90143000,2259
"19","2019","01","26","10:40",20,"청정수산 완도활전복 中사이즈 26미","농수축",59900,132255000,2208
"20","2019","01","24","16:40",20,"옛날 그 쥐포 110장 (11팩)","농수축",32900,72528000,2204
"21","2019","01","17","20:40",20,"비버리힐스폴로클럽 남성기초세트(2018FW골드)","이미용",39800,86954000,2185
"22","2019","01","01","18:20",20,"우리바다 손질왕꼬막 24팩","농수축",39900,85937000,2154
"23","2019","01","15","16:40",20,"안동간고등어 20팩","농수축",30900,65556000,2122
"24","2019","01","24","15:20",20,"궁중 손질새우 200미 + 동태포 200g","농수축",40900,85227000,2084
"25","2019","01","19","16:20",20,"안동간고등어 20팩","농수축",30900,64371000,2083
"26","2019","01","28","21:40",20,"국내산 손질갑오징어 8팩","농수축",49900,103777000,2080
"27","2019","01","20","16:40",20,"국내산 손질갑오징어 8팩","농수축",49900,100892000,2022
"28","2019","01","08","20:40",20,"국내산 손질갑오징어 8팩","농수축",49900,100341000,2011
"29","2019","01","04","20:40",20,"비버리힐스폴로클럽 남성기초세트(2018FW골드)","이미용",39800,79187000,1990
"30","2019","01","27","13:40",20,"제주바다 7분 손질문어","농수축",59900,117449000,1961
"31","2019","01","26","19:20",20,"우리바다 손질왕꼬막 24팩","농수축",39900,78133000,1958
"32","2019","01","20","17:40",20,"궁중 손질새우 200미 + 동태포 200g","농수축",40900,79819000,1952
"33","2019","01","05","17:20",20,"우리바다 손질왕꼬막 24팩","농수축",39900,77249000,1936
"34","2019","01","27","17:40",20,"국내산 손질갑오징어 8팩","농수축",49900,95792000,1920
"35","2019","01","26","13:40",20,"궁중 손질새우 200미 + 동태포 200g","농수축",40900,78197000,1912
"36","2019","01","26","12:40",20,"비버리힐스폴로클럽 남성기초세트(2018FW골드)","이미용",39800,74878000,1881
"37","2019","01","26","13:20",20,"궁중 손질새우 200미 + 동태포 200g","농수축",40900,76005000,1858
"38","2019","01","28","17:20",20,"옛날 그 쥐포 110장 (11팩)","농수축",32900,60901000,1851
"39","2019","01","01","17:20",20,"비버리힐스폴로클럽 남성기초세트(2018FW골드)","이미용",39800,73494000,1847
"40","2019","01","24","15:40",20,"궁중 손질새우 200미 + 동태포 200g","농수축",40900,74353000,1818
"41","2019","01","28","17:40",20,"옛날 그 쥐포 110장 (11팩)","농수축",32900,59800000,1818
"42","2019","01","14","21:20",20,"국내산 손질갑오징어 8팩","농수축",49900,89632000,1796
"43","2019","01","24","10:40",20,"궁중 손질새우 200미 + 동태포 200g","농수축",40900,73291000,1792
"44","2019","01","11","15:40",20,"하늘내린 용대리황태10미","농수축",32900,58933000,1791
"45","2019","01","07","16:40",20,"안동간고등어 20팩","농수축",30900,55131000,1784
"46","2019","01","06","14:40",20,"비버리힐스폴로클럽 남성기초세트(2018FW골드)","이미용",39800,70925000,1782
"47","2019","01","10","21:40",20,"국내산 손질갑오징어 8팩","농수축",49900,88341000,1770
"48","2019","01","20","16:20",20,"국내산 손질갑오징어 8팩","농수축",49900,88029000,1764
"49","2019","01","27","15:20",20,"궁중 손질새우 200미 + 동태포 200g","농수축",40900,71952000,1759
"50","2019","01","13","16:00",20,"우리바다 손질왕꼬막 24팩","농수축",39900,70020000,1755
"51","2019","01","29","17:40",20,"안동간고등어 20팩","농수축",30900,54202000,1754
"52","2019","01","23","20:00",20,"우리바다 손질왕꼬막 24팩","농수축",39900,69783000,1749
"53","2019","01","24","22:40",20,"국내산 손질갑오징어 8팩","농수축",49900,87201000,1748
"54","2019","01","06","16:40",20,"소들녘 소 갈비탕","농수축",50900,87413000,1717
"55","2019","01","23","19:40",20,"비버리힐스폴로클럽 남성기초세트(2018FW골드)","이미용",39800,68343000,1717
"56","2019","01","06","17:20",20,"국내산 손질갑오징어 8팩","농수축",49900,85450000,1712
"57","2019","01","17","15:40",20,"영산포숙성 홍어8팩+무침3통","농수축",40900,69733000,1705
"58","2019","01","15","16:20",20,"안동간고등어 20팩","농수축",30900,52601000,1702
"59","2019","01","27","11:40",20,"천연담아 명품다시팩 100포","농수축",39900,67615000,1695
"60","2019","01","07","18:20",20,"우리바다 손질왕꼬막 24팩","농수축",39900,67225000,1685
"61","2019","01","15","18:40",20,"궁중 손질새우 200미 + 동태포 200g","농수축",40900,68225000,1668
"62","2019","01","06","17:40",20,"국내산 손질갑오징어 8팩","농수축",49900,82757000,1658
"63","2019","01","27","11:20",20,"천연담아 명품다시팩 100포","농수축",39900,65991000,1654
"64","2019","01","07","16:20",20,"안동간고등어 20팩","농수축",30900,51049000,1652
"65","2019","01","19","10:20",20,"궁중 손질새우 200미 + 동태포 200g","농수축",40900,67430000,1649
"66","2019","01","03","18:40",20,"영산포숙성 홍어8팩+무침3통","농수축",40900,67200000,1643
"67","2019","01","01","12:40",20,"에코라믹 통주물 스톤 냄비세트","주방",60900,99235000,1629
"68","2019","01","20","17:20",20,"궁중 손질새우 200미 + 동태포 200g","농수축",40900,66505000,1626
"69","2019","01","20","15:20",20,"비버리힐스폴로클럽 남성기초세트(2018FW골드)","이미용",39800,64607000,1623
"70","2019","01","04","12:40",20,"안동간고등어 20팩","농수축",30900,50049000,1620
"71","2019","01","05","8:40",20,"마담팰리스 웜기모 롱베스트 3종세트","의류",39900,64124000,1607
"72","2019","01","13","17:40",20,"비버리힐스폴로클럽 남성기초세트(2018FW골드)","이미용",39800,63223000,1589
"73","2019","01","13","12:40",20,"에코라믹 통주물 스톤 냄비세트","주방",60900,96399000,1583
"74","2019","01","06","15:30",30,"오모떼 프런트후크 데오브라 시즌2","속옷",59000,93153000,1579
"75","2019","01","08","20:20",20,"국내산 손질갑오징어 8팩","농수축",49900,78627000,1576
"76","2019","01","28","21:20",20,"국내산 손질갑오징어 8팩","농수축",49900,78514000,1573
"77","2019","01","26","16:20",20,"장보고 완도매생이 30개","농수축",32900,51613000,1569
"78","2019","01","06","13:40",20,"아리스토우 남성기모티셔츠5종","의류",39900,62565000,1568
"79","2019","01","26","17:40",20,"제주바다 7분 손질문어","농수축",59900,93015000,1553
"80","2019","01","28","16:40",20,"안동간고등어 20팩","농수축",30900,47978000,1553
"81","2019","01","27","14:40",20,"비버리힐스폴로클럽 남성기초세트(2018FW골드)","이미용",39800,60999000,1533
"82","2019","01","12","13:40",20,"비버리힐스폴로클럽 남성기초세트(2018FW골드)","이미용",39800,60428000,1518
"83","2019","01","12","13:20",20,"비버리힐스폴로클럽 남성기초세트(2018FW골드)","이미용",39800,60340000,1516
"84","2019","01","15","14:20",20,"하늘내린 용대리황태10미","농수축",32900,49763000,1513
"85","2019","01","12","18:40",20,"영산포숙성 홍어8팩+무침3통","농수축",40900,61797000,1511
"86","2019","01","09","18:40",20,"안동간고등어 20팩","농수축",30900,46645000,1510
"87","2019","01","10","14:40",20,"안동간고등어 20팩","농수축",30900,46517000,1505
"88","2019","01","28","16:20",20,"안동간고등어 20팩","농수축",30900,46495000,1505
"89","2019","01","16","18:40",20,"영산포숙성 홍어8팩+무침3통","농수축",40900,61480000,1503
"90","2019","01","05","9:30",30,"오모떼 프런트후크 데오브라 시즌2","속옷",59000,88503000,1500
"91","2019","01","22","14:20",20,"하늘내린 용대리황태10미","농수축",32900,49307000,1499
"92","2019","01","19","16:00",20,"안동간고등어 20팩","농수축",30900,46308000,1499
"93","2019","01","18","12:40",20,"하늘내린 용대리황태10미","농수축",32900,49055000,1491
"94","2019","01","24","16:20",20,"옛날 그 쥐포 110장 (11팩)","농수축",32900,48779000,1483
"95","2019","01","11","22:30",30,"로이몬스터 남녀 벤치후드롱패딩","의류",49800,73797000,1482
"96","2019","01","01","18:00",20,"우리바다 손질왕꼬막 24팩","농수축",39900,59050000,1480
"97","2019","01","29","19:40",20,"비버리힐스폴로클럽 남성기초세트(2018FW골드)","이미용",39800,58492000,1470
"98","2019","01","04","16:40",20,"하늘내린 용대리황태10미","농수축",32900,48311000,1468
"99","2019","01","26","12:20",20,"비버리힐스폴로클럽 남성기초세트(2018FW골드)","이미용",39800,58132000,1461
"100","2019","01","13","15:30",30,"로이몬스터 남녀 벤치후드롱패딩","의류",49800,72663000,1459
"101","2019","01","27","12:40",20,"에코라믹 통주물 스톤 냄비세트","주방",60900,88745000,1457
"102","2019","01","22","12:40",20,"천연담아 명품다시팩 100포","농수축",39900,57887000,1451
"103","2019","01","13","16:40",20,"우리바다 손질왕꼬막 24팩","농수축",39900,57876000,1451
"104","2019","01","04","12:20",20,"안동간고등어 20팩","농수축",30900,44792000,1450
"105","2019","01","14","13:40",20,"안동간고등어 20팩","농수축",30900,44763000,1449
"106","2019","01","29","21:00",20,"우리바다 손질왕꼬막 24팩","농수축",39900,57472000,1440
"107","2019","01","08","12:40",20,"하늘내린 용대리황태10미","농수축",32900,47369000,1440
"108","2019","01","30","10:30",30,"에코라믹 컬링스톤프라이팬세트","주방",50900,72900000,1432
"109","2019","01","15","14:40",20,"하늘내린 용대리황태10미","농수축",32900,46911000,1426
"110","2019","01","09","18:20",20,"안동간고등어 20팩","농수축",30900,43709000,1415
