,방송일시,노출(분),상품명,상품군,판매단가,취급액,판매수량,요일,휴일,공휴일,New판매단가,남여,무이자/일시불,최저기온,최고기온,평균기온,강수량,미세먼지농도,소비자물가지수,시각,시각인덱스,New상품명,공휴일 여부,휴일 여부,New요일
20587,2019-07-16 12:40,20,일시불 종근당건강 락토핏 생유산균골드 단하루,2,75050,41407000,552,Tuesday,No,No,9,2,1,20.3,28.7,23.8,4.5,23,104.56,12:40:00,76,32,0,0,1
8908,2019-03-31 21:50,30,일시불 삼성 무풍슬림 스탠드  에어컨  AF16R5773WSK,1,1909000,12025000,7,Sunday,Yes,No,0,2,1,2.3,9.2,5.4,0.2,31,104.49,21:50:00,131,7,0,1,6
17291,2019-06-14 10:20,20,마르엘라로사티 린넨 베스트 세트,6,49900,35674000,715,Friday,No,No,0,2,2,16.8,24.7,20.2,2.3,25,104.88,10:20:00,62,84,0,0,4
209,2019-01-03 15:40,20,(도냄)일시불 쿠쿠전기밥솥 10인용,9,208000,25184000,122,Thursday,No,No,0,2,1,-7.7,5.0,-2.1,0.0,25,104.24,15:40:00,94,59,0,0,3
16826,2019-06-09 20:40,20,(일)한샘 페이지 리클라이너 소파(3인용),0,1034100,1960000,2,Sunday,Yes,No,12,2,2,16.1,25.0,19.7,1.5,22,104.88,20:40:00,124,8,0,1,6
16437,2019-06-06 0:40,20,프라다 테스토 레터링 버킷백,8,1150000,16978000,15,Thursday,No,Yes,12,2,2,16.9,26.9,21.1,20.7,39,104.88,0:40:00,4,0,1,0,3
3565,2019-02-07 21:20,20,무이자 삼성 UHD 국민TV UN55NU7010FXKR,1,1080000,20271000,19,Thursday,No,No,12,2,0,-3.9,7.4,2.1,0.5,44,104.69,21:20:00,128,1,0,0,3
5127,2019-02-23 0:20,20,푸마 드라이셀 퓨징 브라세트 패키지,5,139000,34796000,251,Saturday,Yes,No,0,2,2,-1.3,13.2,5.0,0.0,48,104.69,0:20:00,2,85,0,1,5
35151,2019-12-08 15:00,20,푸마 시그니처 코튼 트렁크 9종,5,89000,8039000,91,Sunday,Yes,No,0,2,2,-3.3,8.0,1.4,0.0,37,105.12,15:00:00,90,19,0,1,6
13826,2019-05-12 21:00,20,무이자 LG 울트라HD TV 75UK6200KNB,1,3090000,14319000,5,Sunday,Yes,Yes,12,2,0,11.1,26.0,18.4,0.0,36,105.05,21:00:00,126,1,1,1,6
27854,2019-09-24 7:20,20,마르엘라로사티 롱블라우스3종,6,39900,37729000,946,Tuesday,No,No,0,2,2,12.6,25.0,17.8,0.0,22,105.2,7:20:00,44,0,0,0,1
17802,2019-06-18 22:40,20,보루네오 루나 유로탑 멀티수납형 LED 침대 K 킹,0,648000,29142000,45,Tuesday,No,No,0,2,2,17.3,26.2,21.3,2.1,25,104.88,22:40:00,136,5,0,0,1
21785,2019-07-27 1:00,20,무)자미코코 3단 매트릭스 더블,4,129000,1352000,11,Saturday,Yes,No,0,2,2,24.6,30.5,27.1,12.1,20,104.56,1:00:00,6,112,0,1,5
23642,2019-08-13 21:20,20,보루네오 루나시즌2 유로탑 멀티수납형 LED침대 킹,0,648000,9374000,15,Tuesday,No,No,0,2,2,24.3,33.7,28.5,1.2,21,104.81,21:20:00,128,18,0,0,1
16720,2019-06-08 18:30,10,초특가)에버라스트 드로즈 10+4종,5,39900,18002000,452,Saturday,Yes,No,0,2,2,15.5,25.5,20.1,0.1,22,104.88,18:30:00,111,6,0,1,5
25662,2019-09-03 12:20,20,(쿠)무이자 19년 신제품  쿠첸 풀스텐 압력밥솥 10인용(A1),9,178000,6022000,34,Tuesday,No,No,0,2,0,20.1,24.8,22.1,13.1,16,105.2,12:20:00,74,4,0,0,1
33624,2019-11-22 10:20,20,칼리베이직 2019 패브릭 백 4종 (시즌 3) (ARS),8,59000,23447000,398,Friday,No,No,0,2,2,2.8,17.3,9.3,0.0,31,104.87,10:20:00,62,0,0,0,4
13937,2019-05-13 19:20,20,무이자 대우전자 벽걸이 에어컨 TDOZ-S10JK,1,849000,8799000,11,Monday,No,No,0,2,0,11.4,24.5,17.9,0.0,38,105.05,19:20:00,116,7,0,0,0
3848,2019-02-10 12:40,20,무이자 린나이 자동불꽃조절 가스레인지 3구,9,289000,32972000,115,Sunday,Yes,No,0,2,0,-6.3,3.2,-1.4,0.0,29,104.69,12:40:00,76,12,0,1,6
32869,2019-11-14 10:20,20,쿠미투니카 웜 레이시 란쥬패키지,5,69900,24452000,350,Thursday,No,No,0,2,2,-0.7,8.6,3.7,0.0,24,104.87,10:20:00,62,0,0,0,3
8609,2019-03-29 9:30,30,노와 스텐 대용량에어프라이어 4L,9,84800,44935000,530,Friday,No,No,0,2,2,5.0,17.0,10.6,0.0,33,104.49,9:30:00,57,21,0,0,4
12567,2019-05-02 23:20,20,(무) 삼익가구 LED 제니비 서랍형 침대 Q,0,599000,1567000,3,Thursday,No,No,0,2,2,8.3,24.1,16.0,0.0,56,105.05,23:20:00,140,3,0,0,3
25541,2019-09-02 9:20,20,NNF SS트레이닝 세트(8월),6,29000,42324000,1460,Monday,No,No,0,2,2,19.1,25.1,21.6,11.4,20,105.2,9:20:00,56,0,0,0,0
28737,2019-10-03 0:00,20,보루네오 심플 광폭 서랍장 800 3단,0,139000,1629000,12,Thursday,No,Yes,0,2,2,18.7,26.3,22.0,28.9,20,105.46,0:00:00,0,103,1,0,3
9881,2019-04-08 20:20,20,무이자 삼성 엑티브워시 세탁기14kg WA14N6781TG,1,569000,7929000,14,Monday,No,No,0,2,0,5.1,19.1,11.8,0.0,34,104.87,20:20:00,122,10,0,0,0
23307,2019-08-10 21:40,20,무이자 LG전자 매직스페이스 냉장고,1,1499000,45212000,31,Saturday,Yes,No,0,2,0,24.5,33.4,28.6,0.0,23,104.81,21:40:00,130,9,0,1,5
33876,2019-11-25 13:40,20,무이자 쿠쿠전기밥솥 6인용(QS),9,208000,6351000,31,Monday,No,No,0,2,0,3.3,10.6,5.9,3.5,21,104.87,13:40:00,82,59,0,0,0
11997,2019-04-27 10:40,20,뱅뱅 남성 아웃도어 팬츠3종(2019 S/S),6,69900,29114000,417,Saturday,Yes,No,0,0,2,4.9,17.8,11.4,0.1,15,104.87,10:40:00,64,42,0,1,5
27770,2019-09-23 8:00,20,무농약레드비트즙 90봉,2,39900,20252000,508,Monday,No,No,0,2,2,14.4,22.5,18.1,0.4,15,105.2,8:00:00,48,0,0,0,0
