,방송일시,노출(분),상품명,상품군,판매단가,취급액,판매수량,요일,휴일,공휴일,New판매단가,남여,무이자/일시불,최저기온,최고기온,평균기온,강수량,미세먼지농도,소비자물가지수,시각,시각인덱스,New상품명,공휴일 여부,휴일 여부,New요일
8181,2019-03-24 19:50,30,일)한샘 하이바스 내추럴 기본형 + 키큰장,0,3321000,6813000,3,Sunday,Yes,No,12,2,2,-2.1,11.3,4.7,0.0,24,104.49,19:50:00,119,0,0,1,6
4959,2019-02-21 11:00,20,보코 폭스퍼구스다운 롱패딩,6,159000,18699000,118,Thursday,No,No,0,2,2,-2.7,9.4,2.7,0.0,55,104.69,11:00:00,66,117,0,0,3
8011,2019-03-23 8:40,20,테이트 여성 SS 트렌치재킷,6,69900,31596000,453,Saturday,Yes,No,0,1,2,-0.3,10.3,4.2,1.4,24,104.49,8:40:00,52,0,0,1,5
11711,2019-04-24 20:40,20,K-SWISS 여성에어핏트랙수트,6,89000,16067000,181,Wednesday,No,No,0,1,2,14.2,22.0,17.3,6.9,27,104.87,20:40:00,124,0,0,0,2
31758,2019-11-02 22:00,20,일시불 LG전자 매직스페이스 냉장고,1,1359000,60609000,45,Saturday,Yes,No,0,2,1,7.7,19.9,13.5,0.0,55,104.87,22:00:00,132,9,0,1,5
27750,2019-09-22 23:30,30,보루네오 델라 원목 베드룸 세트3(프레임+매트리스),0,849000,2125000,3,Sunday,Yes,No,0,2,2,16.1,19.1,17.5,65.1,16,105.2,23:30:00,141,0,0,1,6
9363,2019-04-04 16:20,20,쿠미투니카 라이크라 보정 레이스멀티팬티,5,39900,24684000,619,Thursday,No,No,0,2,2,1.3,17.9,9.9,0.0,34,104.87,16:20:00,98,0,0,0,3
20305,2019-07-14 7:00,20,뱅뱅 남성 크롭 아웃도어 팬츠3종(2019 S/S),6,59900,9156000,153,Sunday,Yes,No,0,0,2,20.2,29.1,23.9,2.1,27,104.56,7:00:00,42,42,0,1,6
36118,2019-12-17 20:20,20,무이자쿠첸압력밥솥 6인용,9,158000,5812000,37,Tuesday,No,No,0,2,0,3.9,12.5,8.3,2.2,25,105.12,20:20:00,122,4,0,0,1
4445,2019-02-16 15:40,20,몬테밀라노 컴포트앤핏 브라팬티 5+5세트,5,99000,59844000,605,Saturday,Yes,No,0,2,2,-3.5,3.3,-0.3,0.1,44,104.69,15:40:00,94,65,0,1,5
27156,2019-09-17 22:40,20,보루네오 루나시즌2 유로탑 멀티수납형 LED침대 슈퍼싱글,0,548000,33547000,62,Tuesday,No,No,0,2,2,15.5,27.8,21.3,0.0,19,105.2,22:40:00,136,18,0,0,1
26439,2019-09-11 10:30,30,[루이띠에] 18K 베르니아 팔찌,8,1350000,26014000,20,Wednesday,No,No,12,2,2,21.5,27.8,23.9,7.4,19,105.2,10:30:00,63,37,0,0,2
37311,2019-12-31 13:00,20,무이자 쿠쿠전기밥솥 10인용(CRP-QS107FG/FS),9,218000,27909000,129,Tuesday,No,No,0,2,0,-6.7,0.4,-3.8,0.1,19,105.12,13:00:00,78,59,0,0,1
5216,2019-02-24 6:00,20,무이자 메디쉴드 자동 목 견인기기,4,248000,2418000,10,Sunday,Yes,No,0,2,0,-1.5,14.3,6.1,0.0,44,104.69,6:00:00,36,0,0,1,6
