,Unnamed: 0,방송일시,노출(분),상품명,상품군,판매단가,취급액,판매수량,요일,휴일,공휴일,New판매단가
0,0,2019-01-01 6:00,20,테이트 남성 셀린니트3종,6,39900,2099000,53,Tuesday,No,Yes,0.0
1,1,2019-01-01 6:00,20,테이트 여성 셀린니트3종,6,39900,4371000,110,Tuesday,No,Yes,0.0
2,2,2019-01-01 6:20,20,테이트 남성 셀린니트3종,6,39900,3262000,82,Tuesday,No,Yes,0.0
3,3,2019-01-01 6:20,20,테이트 여성 셀린니트3종,6,39900,6955000,175,Tuesday,No,Yes,0.0
4,4,2019-01-01 6:40,20,테이트 남성 셀린니트3종,6,39900,6672000,168,Tuesday,No,Yes,0.0
5,5,2019-01-01 6:40,20,테이트 여성 셀린니트3종,6,39900,9337000,235,Tuesday,No,Yes,0.0
6,6,2019-01-01 7:00,20,오모떼 레이스 파운데이션 브라,5,59000,6819000,116,Tuesday,No,Yes,0.0
7,7,2019-01-01 7:20,20,오모떼 레이스 파운데이션 브라,5,59000,15689000,266,Tuesday,No,Yes,0.0
8,8,2019-01-01 7:40,20,오모떼 레이스 파운데이션 브라,5,59000,25370000,430,Tuesday,No,Yes,0.0
9,9,2019-01-01 8:00,20,CERINI by PAT 남성 소프트 기모 릴렉스팬츠,6,59900,16133000,270,Tuesday,No,Yes,0.0
10,10,2019-01-01 8:20,20,CERINI by PAT 남성 소프트 기모 릴렉스팬츠,6,59900,30061000,502,Tuesday,No,Yes,0.0
11,11,2019-01-01 8:40,20,CERINI by PAT 남성 소프트 기모 릴렉스팬츠,6,59900,53542000,894,Tuesday,No,Yes,0.0
12,12,2019-01-01 9:00,20,보코 리버시블 무스탕,6,79000,16075000,204,Tuesday,No,Yes,0.0
13,13,2019-01-01 9:20,20,보코 리버시블 무스탕,6,79000,25628000,325,Tuesday,No,Yes,0.0
14,14,2019-01-01 9:40,20,보코 리버시블 무스탕,6,79000,49270000,624,Tuesday,No,Yes,0.0
15,15,2019-01-01 10:00,20,CERINI by PAT 남성 풀패키지 기모니트 3종,6,79900,48799000,611,Tuesday,No,Yes,0.0
16,16,2019-01-01 10:20,20,CERINI by PAT 남성 풀패키지 기모니트 3종,6,79900,97907000,1226,Tuesday,No,Yes,0.0
17,17,2019-01-01 10:40,20,CERINI by PAT 남성 풀패키지 기모니트 3종,6,79900,112972000,1414,Tuesday,No,Yes,0.0
18,18,2019-01-01 11:00,20,크로커다일 The 편안한 코튼 브라팬티 4세트,5,69900,24531000,351,Tuesday,No,Yes,0.0
19,19,2019-01-01 11:20,20,크로커다일 The 편안한 코튼 브라팬티 4세트,5,69900,49829000,713,Tuesday,No,Yes,0.0
20,20,2019-01-01 12:00,20,에코라믹 통주물 스톤 냄비세트,9,60900,33823000,556,Tuesday,No,Yes,0.0
21,21,2019-01-01 12:20,20,에코라믹 통주물 스톤 냄비세트,9,60900,59083000,971,Tuesday,No,Yes,0.0
22,22,2019-01-01 12:40,20,에코라믹 통주물 스톤 냄비세트,9,60900,99235000,1630,Tuesday,No,Yes,0.0
23,23,2019-01-01 13:00,30,오모떼 360도 텐션업 레이스 패키지 시즌4,5,109000,32273000,297,Tuesday,No,Yes,0.0
24,24,2019-01-01 13:30,30,오모떼 360도 텐션업 레이스 패키지 시즌4,5,109000,79273000,728,Tuesday,No,Yes,0.0
25,25,2019-01-01 14:00,30,그렉노먼 남성 구스다운 롱 벤치코트,6,119000,11269000,95,Tuesday,No,Yes,0.0
26,26,2019-01-01 14:00,30,그렉노먼 여성 구스다운 롱 벤치코트,6,119000,20841000,176,Tuesday,No,Yes,0.0
27,27,2019-01-01 14:30,30,그렉노먼 남성 구스다운 롱 벤치코트,6,119000,40526000,341,Tuesday,No,Yes,0.0
28,28,2019-01-01 14:30,30,그렉노먼 여성 구스다운 롱 벤치코트,6,119000,47294000,398,Tuesday,No,Yes,0.0
29,29,2019-01-01 15:00,20,뽕셰프 이봉원 특갈비탕 12팩,3,60900,14113000,232,Tuesday,No,Yes,0.0
30,30,2019-01-01 15:20,20,뽕셰프 이봉원 특갈비탕 12팩,3,60900,32395000,532,Tuesday,No,Yes,0.0
31,31,2019-01-01 15:40,20,뽕셰프 이봉원 특갈비탕 12팩,3,60900,39669000,652,Tuesday,No,Yes,0.0
32,32,2019-01-01 16:00,20,국내산 손질갑오징어 8팩,3,49900,60787000,1219,Tuesday,No,Yes,0.0
33,33,2019-01-01 16:20,20,국내산 손질갑오징어 8팩,3,49900,115457000,2314,Tuesday,No,Yes,0.0
34,34,2019-01-01 16:40,20,멋진밥상 흥양농협 햅쌀 20kg,3,61000,83893000,1376,Tuesday,No,Yes,7.0
35,35,2019-01-01 17:00,20,비버리힐스폴로클럽 남성기초세트(2018FW골드),7,39800,42239000,1062,Tuesday,No,Yes,0.0
36,36,2019-01-01 17:20,20,비버리힐스폴로클럽 남성기초세트(2018FW골드),7,39800,73494000,1847,Tuesday,No,Yes,0.0
37,37,2019-01-01 17:40,20,비버리힐스폴로클럽 남성기초세트(2018FW골드),7,39800,107103000,2692,Tuesday,No,Yes,0.0
38,38,2019-01-01 18:00,20,우리바다 손질왕꼬막 24팩,3,39900,59050000,1480,Tuesday,No,Yes,0.0
39,39,2019-01-01 18:20,20,우리바다 손질왕꼬막 24팩,3,39900,85937000,2154,Tuesday,No,Yes,0.0
40,40,2019-01-01 18:40,20,우리바다 손질왕꼬막 24팩,3,39900,101468000,2544,Tuesday,No,Yes,0.0
41,41,2019-01-01 19:00,20,푸마 에어핏 서포트 브라세트 15종+4종,5,119000,36620000,308,Tuesday,No,Yes,0.0
42,42,2019-01-01 19:20,20,푸마 에어핏 서포트 브라세트 15종+4종,5,119000,69349000,583,Tuesday,No,Yes,0.0
43,43,2019-01-01 19:40,20,푸마 에어핏 서포트 브라세트 15종+4종,5,119000,84610000,712,Tuesday,No,Yes,0.0
44,44,2019-01-01 20:00,20,일시불 LG 통돌이 세탁기,1,439000,35519000,81,Tuesday,No,Yes,0.0
45,45,2019-01-01 20:00,20,무이자 LG 통돌이 세탁기,1,489000,19123000,40,Tuesday,No,Yes,0.0
46,46,2019-01-01 20:20,20,일시불 LG 통돌이 세탁기,1,439000,56859000,130,Tuesday,No,Yes,0.0
47,47,2019-01-01 20:20,20,무이자 LG 통돌이 세탁기,1,489000,58685000,121,Tuesday,No,Yes,0.0
48,48,2019-01-01 20:40,20,일시불 LG 통돌이 세탁기,1,439000,68320000,156,Tuesday,No,Yes,0.0
49,49,2019-01-01 20:40,20,무이자 LG 통돌이 세탁기,1,489000,46068000,95,Tuesday,No,Yes,0.0
50,50,2019-01-01 21:00,20,마리노블 밍크 롱코트,6,499000,16362000,33,Tuesday,No,Yes,0.0
51,51,2019-01-01 21:20,20,마리노블 밍크 롱코트,6,499000,53791000,108,Tuesday,No,Yes,0.0
52,52,2019-01-01 21:40,20,마리노블 밍크 롱코트,6,499000,84562000,170,Tuesday,No,Yes,0.0
53,53,2019-01-01 22:00,30,헤스티지 엘레나 라쿤양가죽 콤비 롱코트,6,299000,38067000,128,Tuesday,No,Yes,0.0
54,54,2019-01-01 22:30,30,헤스티지 엘레나 라쿤양가죽 콤비 롱코트,6,299000,77764000,261,Tuesday,No,Yes,0.0
55,55,2019-01-01 23:00,20,로베르타 디 까메리노 올레이스 지퍼브라팬티,5,89900,23075000,257,Tuesday,No,Yes,0.0
56,56,2019-01-01 23:20,20,로베르타 디 까메리노 올레이스 지퍼브라팬티,5,89900,39452000,439,Tuesday,No,Yes,0.0
57,57,2019-01-01 23:40,20,로베르타 디 까메리노 올레이스 지퍼브라팬티,5,89900,60010000,668,Tuesday,No,Yes,0.0
58,58,2019-01-02 0:00,20,그렉노먼 남성 캐시터치 터틀넥 4종,6,69900,6082000,88,Wednesday,No,No,0.0
59,59,2019-01-02 0:00,20,그렉노먼 여성 캐시터치 터틀넥 4종,6,69900,6445000,93,Wednesday,No,No,0.0
60,60,2019-01-02 0:20,20,그렉노먼 남성 캐시터치 터틀넥 4종,6,69900,11985000,172,Wednesday,No,No,0.0
61,61,2019-01-02 0:20,20,그렉노먼 여성 캐시터치 터틀넥 4종,6,69900,8491000,122,Wednesday,No,No,0.0
62,62,2019-01-02 0:40,20,그렉노먼 남성 캐시터치 터틀넥 4종,6,69900,16461000,236,Wednesday,No,No,0.0
63,63,2019-01-02 0:40,20,그렉노먼 여성 캐시터치 터틀넥 4종,6,69900,10641000,153,Wednesday,No,No,0.0
64,64,2019-01-02 1:00,20,레이프릴 무빙 맥시풀커버 브라팬티,5,69900,9647000,139,Wednesday,No,No,0.0
65,65,2019-01-02 1:20,20,레이프릴 무빙 맥시풀커버 브라팬티,5,69900,15516000,222,Wednesday,No,No,0.0
66,66,2019-01-02 1:40,20,레이프릴 무빙 맥시풀커버 브라팬티,5,69900,18695000,268,Wednesday,No,No,0.0
